event,trade_date,feature,weight
learner_fit,,intercept,-0.0001755498824813269
learner_fit,,mentions,1.180712537008968e-06
learner_fit,,z_score,-1.2264382742379541e-05
learner_fit,,mentions_momentum,-2.8991397126336755e-06
learner_fit,,mentions_rank,-0.002143553755593767
daily_refit,2023-01-03,intercept,-0.0001784876204383771
daily_refit,2023-01-03,mentions,7.181022009149966e-07
daily_refit,2023-01-03,z_score,-1.0430806400532368e-05
daily_refit,2023-01-03,mentions_momentum,-2.7508904335572606e-06
daily_refit,2023-01-03,mentions_rank,-0.0021408966516510953
daily_refit,2023-01-04,intercept,-0.00018431616507167672
daily_refit,2023-01-04,mentions,6.902463209399314e-07
daily_refit,2023-01-04,z_score,-1.0246358292364356e-05
daily_refit,2023-01-04,mentions_momentum,-2.7171159108555055e-06
daily_refit,2023-01-04,mentions_rank,-0.002102829250927213
daily_refit,2023-01-05,intercept,-0.00016127786420313907
daily_refit,2023-01-05,mentions,2.387684851688451e-07
daily_refit,2023-01-05,z_score,-1.0213234069040758e-05
daily_refit,2023-01-05,mentions_momentum,-2.2914642983561014e-06
daily_refit,2023-01-05,mentions_rank,-0.0021016163540869197
daily_refit,2023-01-06,intercept,-8.666395296360208e-05
daily_refit,2023-01-06,mentions,6.117787812217869e-07
daily_refit,2023-01-06,z_score,-1.4132858000773483e-05
daily_refit,2023-01-06,mentions_momentum,-2.1970969990127948e-06
daily_refit,2023-01-06,mentions_rank,-0.0020573659148011244
daily_refit,2023-01-09,intercept,-0.00010376778022855418
daily_refit,2023-01-09,mentions,7.128723819887941e-07
daily_refit,2023-01-09,z_score,-1.5060607425506778e-05
daily_refit,2023-01-09,mentions_momentum,-2.2602091364124806e-06
daily_refit,2023-01-09,mentions_rank,-0.002046780754264574
daily_refit,2023-01-10,intercept,-6.45297556619137e-05
daily_refit,2023-01-10,mentions,-6.421290404751894e-08
daily_refit,2023-01-10,z_score,-1.731888226953703e-05
daily_refit,2023-01-10,mentions_momentum,-1.8509296196350463e-06
daily_refit,2023-01-10,mentions_rank,-0.0018547095727231033
daily_refit,2023-01-11,intercept,-3.0088491787758463e-05
daily_refit,2023-01-11,mentions,-6.557368497759513e-07
daily_refit,2023-01-11,z_score,-1.9299564181009012e-05
daily_refit,2023-01-11,mentions_momentum,-1.5621702266231501e-06
daily_refit,2023-01-11,mentions_rank,-0.001708513047901798
daily_refit,2023-01-12,intercept,-5.944464058412454e-05
daily_refit,2023-01-12,mentions,-7.45251379091595e-07
daily_refit,2023-01-12,z_score,-1.7738056457788265e-05
daily_refit,2023-01-12,mentions_momentum,-1.533333500265366e-06
daily_refit,2023-01-12,mentions_rank,-0.0016807271436306919
daily_refit,2023-01-13,intercept,-1.7929666615777326e-05
daily_refit,2023-01-13,mentions,-8.395546170943124e-07
daily_refit,2023-01-13,z_score,-1.9808642758904512e-05
daily_refit,2023-01-13,mentions_momentum,-1.405204624178402e-06
daily_refit,2023-01-13,mentions_rank,-0.0015976716495717269
daily_refit,2023-01-17,intercept,-1.3521600926170075e-05
daily_refit,2023-01-17,mentions,-8.304306101834059e-07
daily_refit,2023-01-17,z_score,-2.0627954134765863e-05
daily_refit,2023-01-17,mentions_momentum,-1.6136101795329979e-06
daily_refit,2023-01-17,mentions_rank,-0.0015407262181346669
daily_refit,2023-01-18,intercept,-9.792280228332574e-05
daily_refit,2023-01-18,mentions,9.319744096337318e-08
daily_refit,2023-01-18,z_score,-1.9257187748683064e-05
daily_refit,2023-01-18,mentions_momentum,-2.1945987322651977e-06
daily_refit,2023-01-18,mentions_rank,-0.001734978498962353
daily_refit,2023-01-19,intercept,-0.00010477806456436384
daily_refit,2023-01-19,mentions,2.8972174173202275e-08
daily_refit,2023-01-19,z_score,-2.0176077024850665e-05
daily_refit,2023-01-19,mentions_momentum,-2.1291629991326636e-06
daily_refit,2023-01-19,mentions_rank,-0.0016821516765814636
daily_refit,2023-01-20,intercept,-4.838067318329672e-05
daily_refit,2023-01-20,mentions,-1.75958884335802e-07
daily_refit,2023-01-20,z_score,-2.3172524738740162e-05
daily_refit,2023-01-20,mentions_momentum,-1.92802179023614e-06
daily_refit,2023-01-20,mentions_rank,-0.001586448525359553
daily_refit,2023-01-23,intercept,-2.2847049124399833e-05
daily_refit,2023-01-23,mentions,3.686700615360898e-08
daily_refit,2023-01-23,z_score,-2.280273212832049e-05
daily_refit,2023-01-23,mentions_momentum,-2.489275631971879e-06
daily_refit,2023-01-23,mentions_rank,-0.0015659139496685497
daily_refit,2023-01-24,intercept,-5.1913177256609106e-05
daily_refit,2023-01-24,mentions,1.1644325861297092e-07
daily_refit,2023-01-24,z_score,-2.1700033481927736e-05
daily_refit,2023-01-24,mentions_momentum,-2.587051659845696e-06
daily_refit,2023-01-24,mentions_rank,-0.0015728489486322244
daily_refit,2023-01-25,intercept,1.6614705662867604e-05
daily_refit,2023-01-25,mentions,1.1147252351718874e-06
daily_refit,2023-01-25,z_score,-2.3646205062677027e-05
daily_refit,2023-01-25,mentions_momentum,-2.14139398164881e-06
daily_refit,2023-01-25,mentions_rank,-0.001579642322907426
daily_refit,2023-01-26,intercept,1.854972818404921e-05
daily_refit,2023-01-26,mentions,1.8196007522317106e-06
daily_refit,2023-01-26,z_score,-2.2751725510871797e-05
daily_refit,2023-01-26,mentions_momentum,-2.55951096820886e-06
daily_refit,2023-01-26,mentions_rank,-0.0016495108594246563
daily_refit,2023-01-27,intercept,1.2307629104759373e-05
daily_refit,2023-01-27,mentions,3.1742555028024214e-06
daily_refit,2023-01-27,z_score,-2.155657063589495e-05
daily_refit,2023-01-27,mentions_momentum,-4.3950287698956636e-06
daily_refit,2023-01-27,mentions_rank,-0.001656372840350512
daily_refit,2023-01-30,intercept,1.5397973842196494e-05
daily_refit,2023-01-30,mentions,3.19316262740832e-06
daily_refit,2023-01-30,z_score,-2.0369665456531284e-05
daily_refit,2023-01-30,mentions_momentum,-4.358645534110785e-06
daily_refit,2023-01-30,mentions_rank,-0.001732330941181998
daily_refit,2023-01-31,intercept,4.9434211416632676e-05
daily_refit,2023-01-31,mentions,3.0334727795705617e-06
daily_refit,2023-01-31,z_score,-2.2299184596600234e-05
daily_refit,2023-01-31,mentions_momentum,-4.249910981400146e-06
daily_refit,2023-01-31,mentions_rank,-0.0016644948459263416
daily_refit,2023-02-01,intercept,9.854883437188375e-05
daily_refit,2023-02-01,mentions,2.000605738456696e-06
daily_refit,2023-02-01,z_score,-2.1711596878728798e-05
daily_refit,2023-02-01,mentions_momentum,-3.250815998144159e-06
daily_refit,2023-02-01,mentions_rank,-0.0012061639458458783
daily_refit,2023-02-02,intercept,7.930536783434534e-05
daily_refit,2023-02-02,mentions,2.1249993301288836e-06
daily_refit,2023-02-02,z_score,-2.8145507474383387e-05
daily_refit,2023-02-02,mentions_momentum,-3.6309539711569523e-06
daily_refit,2023-02-02,mentions_rank,-0.0012765465509418335
daily_refit,2023-02-03,intercept,4.21392420299431e-05
daily_refit,2023-02-03,mentions,2.3305621527779474e-06
daily_refit,2023-02-03,z_score,-2.9603970720819855e-05
daily_refit,2023-02-03,mentions_momentum,-3.7032038326714255e-06
daily_refit,2023-02-03,mentions_rank,-0.0011661025246079237
daily_refit,2023-02-06,intercept,2.595757004364173e-05
daily_refit,2023-02-06,mentions,2.0714387651599953e-06
daily_refit,2023-02-06,z_score,-3.052269758325391e-05
daily_refit,2023-02-06,mentions_momentum,-3.256803676941906e-06
daily_refit,2023-02-06,mentions_rank,-0.0011338051561300497
daily_refit,2023-02-07,intercept,4.912573971469601e-05
daily_refit,2023-02-07,mentions,1.839253781252693e-06
daily_refit,2023-02-07,z_score,-3.124410447748698e-05
daily_refit,2023-02-07,mentions_momentum,-3.101435820164469e-06
daily_refit,2023-02-07,mentions_rank,-0.0010728494314264528
daily_refit,2023-02-08,intercept,6.303768749832923e-05
daily_refit,2023-02-08,mentions,1.8250386082533643e-06
daily_refit,2023-02-08,z_score,-3.069765038641409e-05
daily_refit,2023-02-08,mentions_momentum,-3.0977137484338603e-06
daily_refit,2023-02-08,mentions_rank,-0.001056228618766533
daily_refit,2023-02-09,intercept,-3.839572949670254e-06
daily_refit,2023-02-09,mentions,1.5128602786807388e-06
daily_refit,2023-02-09,z_score,-2.8064842023462356e-05
daily_refit,2023-02-09,mentions_momentum,-3.3345678482214395e-06
daily_refit,2023-02-09,mentions_rank,-0.0011095371094911241
daily_refit,2023-02-10,intercept,2.847157397404434e-05
daily_refit,2023-02-10,mentions,1.502514689724163e-06
daily_refit,2023-02-10,z_score,-2.9396025859555868e-05
daily_refit,2023-02-10,mentions_momentum,-3.256904916983979e-06
daily_refit,2023-02-10,mentions_rank,-0.0011762752776528892
daily_refit,2023-02-13,intercept,4.632896350346916e-05
daily_refit,2023-02-13,mentions,1.1040197876758398e-06
daily_refit,2023-02-13,z_score,-3.003871901467307e-05
daily_refit,2023-02-13,mentions_momentum,-2.958309778442405e-06
daily_refit,2023-02-13,mentions_rank,-0.0011033096206988706
daily_refit,2023-02-14,intercept,2.430883400857985e-05
daily_refit,2023-02-14,mentions,1.0314504925262012e-06
daily_refit,2023-02-14,z_score,-2.8980125100653758e-05
daily_refit,2023-02-14,mentions_momentum,-2.707730042922348e-06
daily_refit,2023-02-14,mentions_rank,-0.0009521543412087524
daily_refit,2023-02-15,intercept,2.1068423180726137e-05
daily_refit,2023-02-15,mentions,1.1799521535963748e-06
daily_refit,2023-02-15,z_score,-2.6975976365300246e-05
daily_refit,2023-02-15,mentions_momentum,-2.915916695337743e-06
daily_refit,2023-02-15,mentions_rank,-0.0009176217371539089
daily_refit,2023-02-16,intercept,-4.504630794707442e-06
daily_refit,2023-02-16,mentions,1.3996095984398875e-06
daily_refit,2023-02-16,z_score,-2.706859023919875e-05
daily_refit,2023-02-16,mentions_momentum,-2.819548830680732e-06
daily_refit,2023-02-16,mentions_rank,-0.0010482869367978986
daily_refit,2023-02-21,intercept,-4.138856446661106e-05
daily_refit,2023-02-21,mentions,1.487728304820262e-06
daily_refit,2023-02-21,z_score,-2.679403424153549e-05
daily_refit,2023-02-21,mentions_momentum,-2.7806977209697177e-06
daily_refit,2023-02-21,mentions_rank,-0.0010598257078791185
daily_refit,2023-02-22,intercept,-3.600501476910212e-05
daily_refit,2023-02-22,mentions,1.2540735552685233e-06
daily_refit,2023-02-22,z_score,-2.8150503091769114e-05
daily_refit,2023-02-22,mentions_momentum,-2.570148804463483e-06
daily_refit,2023-02-22,mentions_rank,-0.0009666284480377651
daily_refit,2023-02-23,intercept,-7.402458652644622e-05
daily_refit,2023-02-23,mentions,1.6071513796104528e-06
daily_refit,2023-02-23,z_score,-2.7193079740664676e-05
daily_refit,2023-02-23,mentions_momentum,-2.757759526869448e-06
daily_refit,2023-02-23,mentions_rank,-0.0010896187818346518
daily_refit,2023-02-24,intercept,-2.8159806229703982e-05
daily_refit,2023-02-24,mentions,1.8840045304246915e-06
daily_refit,2023-02-24,z_score,-2.9171385537162602e-05
daily_refit,2023-02-24,mentions_momentum,-3.0887592044840994e-06
daily_refit,2023-02-24,mentions_rank,-0.0011478586665085925
daily_refit,2023-02-27,intercept,-5.8350698230796825e-05
daily_refit,2023-02-27,mentions,2.093648992156804e-06
daily_refit,2023-02-27,z_score,-2.8569731942793346e-05
daily_refit,2023-02-27,mentions_momentum,-3.2683118720176267e-06
daily_refit,2023-02-27,mentions_rank,-0.0011455439595989526
daily_refit,2023-02-28,intercept,-7.302164371834771e-05
daily_refit,2023-02-28,mentions,1.972392523645397e-06
daily_refit,2023-02-28,z_score,-2.6573738186517153e-05
daily_refit,2023-02-28,mentions_momentum,-3.272844235578721e-06
daily_refit,2023-02-28,mentions_rank,-0.0011151958199420108
daily_refit,2023-03-01,intercept,-8.42651846390583e-05
daily_refit,2023-03-01,mentions,1.8565823871669721e-06
daily_refit,2023-03-01,z_score,-2.4059295568014794e-05
daily_refit,2023-03-01,mentions_momentum,-3.37686552534838e-06
daily_refit,2023-03-01,mentions_rank,-0.0011916734715493693
daily_refit,2023-03-02,intercept,-2.084505192243616e-05
daily_refit,2023-03-02,mentions,2.465977351631488e-06
daily_refit,2023-03-02,z_score,-2.8520442369754934e-05
daily_refit,2023-03-02,mentions_momentum,-3.341097829830093e-06
daily_refit,2023-03-02,mentions_rank,-0.0012234232301345772
daily_refit,2023-03-03,intercept,1.2354772093729673e-05
daily_refit,2023-03-03,mentions,2.421364102414698e-06
daily_refit,2023-03-03,z_score,-2.8968270142658264e-05
daily_refit,2023-03-03,mentions_momentum,-3.4823048317201363e-06
daily_refit,2023-03-03,mentions_rank,-0.0011790232196142256
daily_refit,2023-03-06,intercept,-2.2430814477900495e-06
daily_refit,2023-03-06,mentions,2.527304486738582e-06
daily_refit,2023-03-06,z_score,-2.8268576173664993e-05
daily_refit,2023-03-06,mentions_momentum,-3.5073087745118935e-06
daily_refit,2023-03-06,mentions_rank,-0.0012033122264776695
daily_refit,2023-03-07,intercept,-4.967452864260174e-05
daily_refit,2023-03-07,mentions,2.8397715771799666e-06
daily_refit,2023-03-07,z_score,-2.587907091564333e-05
daily_refit,2023-03-07,mentions_momentum,-3.715713836545895e-06
daily_refit,2023-03-07,mentions_rank,-0.0012507119559670129
daily_refit,2023-03-08,intercept,-3.5886636685180816e-05
daily_refit,2023-03-08,mentions,2.780097757668914e-06
daily_refit,2023-03-08,z_score,-2.6970489262030932e-05
daily_refit,2023-03-08,mentions_momentum,-3.689188736443924e-06
daily_refit,2023-03-08,mentions_rank,-0.001244672770491628
daily_refit,2023-03-09,intercept,-0.00010152842563177948
daily_refit,2023-03-09,mentions,3.648950901245646e-06
daily_refit,2023-03-09,z_score,-2.1502666276777364e-05
daily_refit,2023-03-09,mentions_momentum,-4.211731401964918e-06
daily_refit,2023-03-09,mentions_rank,-0.0014540284904912579
daily_refit,2023-03-10,intercept,-0.00020950925910884533
daily_refit,2023-03-10,mentions,4.1426598995088725e-06
daily_refit,2023-03-10,z_score,-2.8090526643233025e-05
daily_refit,2023-03-10,mentions_momentum,-4.3926362072917925e-06
daily_refit,2023-03-10,mentions_rank,-0.0014962095669360817
daily_refit,2023-03-13,intercept,-0.00023768659627575338
daily_refit,2023-03-13,mentions,3.579995711354623e-06
